RnaID	RNADataset	GenotypeQuery	Reason
HRA_00242	TargetALS	TargetALS	CGND-HDA-00171	GenotypeID not found
HRA_00248	TargetALS	TargetALS	CGND-HDA-00177	GenotypeID not found
HRA_00725	TargetALS	TargetALS	CGND-HDA-00175	GenotypeID not found
HRA_00245	TargetALS	TargetALS	CGND-HDA-00181	GenotypeID not found
HRA_00250	TargetALS	TargetALS	CGND-HDA-00170	GenotypeID not found
HRA_00280	TargetALS	TargetALS	CGND-HDA-00177	GenotypeID not found
HRA_00241	TargetALS	TargetALS	CGND-HDA-00170	GenotypeID not found
HRA_00729	TargetALS	TargetALS	CGND-HDA-00181	GenotypeID not found
HRA_00276	TargetALS	TargetALS	CGND-HDA-00173	GenotypeID not found
HRA_00722	TargetALS	TargetALS	CGND-HDA-00172	GenotypeID not found
HRA_00252	TargetALS	TargetALS	CGND-HDA-00172	GenotypeID not found
HRA_00285	TargetALS	TargetALS	CGND-HDA-00170	GenotypeID not found
HRA_00260	TargetALS	TargetALS	CGND-HDA-00170	GenotypeID not found
HRA_00243	TargetALS	TargetALS	CGND-HDA-00172	GenotypeID not found
HRA_00239	TargetALS	TargetALS	CGND-HDA-00168	GenotypeID not found
HRA_00261	TargetALS	TargetALS	CGND-HDA-00171	GenotypeID not found
HRA_00240	TargetALS	TargetALS	CGND-HDA-00169	GenotypeID not found
HRA_00247	TargetALS	TargetALS	CGND-HDA-00176	GenotypeID not found
UMB1714_ba9	PsychEncode	UCLA_ASD	UMB1714	GenotypeID not found
UMB5023_vermis	PsychEncode	UCLA_ASD	UMB5023	GenotypeID not found
AN01570_ba9_58	PsychEncode	UCLA_ASD	AN01570	GenotypeID not found
AN11989_vermis_111	PsychEncode	UCLA_ASD	AN11989	GenotypeID not found
AN11989_vermis_42	PsychEncode	UCLA_ASD	AN11989	GenotypeID not found
UMB5278_vermis	PsychEncode	UCLA_ASD	UMB5278	GenotypeID not found
UMB4722_vermis	PsychEncode	UCLA_ASD	UMB4722	GenotypeID not found
AN01570_ba41_42_22_59	PsychEncode	UCLA_ASD	AN01570	GenotypeID not found
AN08043_ba9	PsychEncode	UCLA_ASD	AN08043	GenotypeID not found
AN11989_BA7	PsychEncode	UCLA_ASD	AN11989	GenotypeID not found
AN11989_ba9_109	PsychEncode	UCLA_ASD	AN11989	GenotypeID not found
UMB4670_vermis	PsychEncode	UCLA_ASD	UMB4670	GenotypeID not found
AN17138_ba41_42_22_44	PsychEncode	UCLA_ASD	AN17138	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\UCLA_ASD\UCLA_ASD.genome-pihat0.125.txt
UMB5391_vermis	PsychEncode	UCLA_ASD	UMB5391	GenotypeID not found
UMB1714_vermis	PsychEncode	UCLA_ASD	UMB1714	GenotypeID not found
UMB5308_ba41_42_22	PsychEncode	UCLA_ASD	UMB5308	GenotypeID not found
AN14762_vermis	PsychEncode	UCLA_ASD	AN14762	GenotypeID not found
AN19511_ba41_42_22_113	PsychEncode	UCLA_ASD	AN19511	GenotypeID not found
UMB1860_vermis	PsychEncode	UCLA_ASD	UMB1860	GenotypeID not found
AN11989_ba41_42_22_110	PsychEncode	UCLA_ASD	AN11989	GenotypeID not found
UMB1499_ba9	PsychEncode	UCLA_ASD	UMB1499	GenotypeID not found
UMB1499_ba41_42_22	PsychEncode	UCLA_ASD	UMB1499	GenotypeID not found
AN08043_vermis	PsychEncode	UCLA_ASD	AN08043	GenotypeID not found
AN04479_BA7	PsychEncode	UCLA_ASD	]AN04479	GenotypeID not found
AN11989_BA17	PsychEncode	UCLA_ASD	AN11989	GenotypeID not found
AN12240_vermis_9	PsychEncode	UCLA_ASD	AN12240	GenotypeID not found
AN08043_BA17	PsychEncode	UCLA_ASD	AN08043	GenotypeID not found
AN19511_vermis_114	PsychEncode	UCLA_ASD	AN19511	GenotypeID not found
UMB5308_ba9	PsychEncode	UCLA_ASD	UMB5308	GenotypeID not found
AN01570_vermis_60	PsychEncode	UCLA_ASD	AN01570	GenotypeID not found
UMB1908_ba41_42_22	PsychEncode	UCLA_ASD	UMB1908	GenotypeID not found
UMB4334_vermis	PsychEncode	UCLA_ASD	UMB4334	GenotypeID not found
UMB5308_vermis	PsychEncode	UCLA_ASD	UMB5308	GenotypeID not found
UMB5027_vermis	PsychEncode	UCLA_ASD	UMB5027	GenotypeID not found
UMB5023_ba9	PsychEncode	UCLA_ASD	UMB5023	GenotypeID not found
AN12240_ba9_7	PsychEncode	UCLA_ASD	AN12240	GenotypeID not found
UMB1407_ba9	PsychEncode	UCLA_ASD	UMB1407	GenotypeID not found
AN19511_ba9_112	PsychEncode	UCLA_ASD	AN19511	GenotypeID not found
UMB5282_vermis	PsychEncode	UCLA_ASD	UMB5282	GenotypeID not found
AN14762_ba41_42_22	PsychEncode	UCLA_ASD	AN14762	GenotypeID not found
UMB5278_ba41_42_22	PsychEncode	UCLA_ASD	UMB5278	GenotypeID not found
UMB4334_ba9	PsychEncode	UCLA_ASD	UMB4334	GenotypeID not found
UMB5278_ba9	PsychEncode	UCLA_ASD	UMB5278	GenotypeID not found
UMB5027_ba9	PsychEncode	UCLA_ASD	UMB5027	GenotypeID not found
AN17138_ba9_43	PsychEncode	UCLA_ASD	AN17138	GenotypeQC: D:\Sync\SyncThing\Postdoc2\2019-BioGen\data\2019-04-Freeze2\2019-04-13-genotypeqc\qcfiles\UCLA_ASD\UCLA_ASD.genome-pihat0.125.txt
AN11989_ba41_42_22_41	PsychEncode	UCLA_ASD	AN11989	GenotypeID not found
AN19511_BA38	PsychEncode	UCLA_ASD	AN19511	GenotypeID not found
UMB5027_ba41_42_22	PsychEncode	UCLA_ASD	UMB5027	GenotypeID not found
UMB1185_ba9	PsychEncode	UCLA_ASD	UMB1185	GenotypeID not found
UMB1499_vermis	PsychEncode	UCLA_ASD	UMB1499	GenotypeID not found
AN08043_ba41_42_22	PsychEncode	UCLA_ASD	AN08043	GenotypeID not found
UMB4670_ba9	PsychEncode	UCLA_ASD	UMB4670	GenotypeID not found
